<Header>
User name:  user_name
Location:  sample_location
Model: MINI-WRAS
Serial No.: 71-15-01
Software revision:  V8-1 Rev II (2017 Sept 26)
Unit: [1/cm3] 
Comment:  
online data
<Data>
[d&t31/12/2035 11:50:55]	PM10	PM2.5	PM1	Inhalable	Thoracic	Alveolic
19/07/2023 12:19:37	2378.4	491.5	68.1	4692.7	2419.3	1222.7
19/07/2023 12:21:37	2305.7	517.8	70.2	4428.5	2317.2	1243.9
19/07/2023 12:22:37	2316.4	494.9	67.6	4415.6	2338.0	1211.2
19/07/2023 12:23:37	2116.7	436.8	59.9	3823.0	2135.9	1077.7
19/07/2023 12:24:37	2022.9	417.9	57.9	3652.8	2042.2	1031.5
19/07/2023 12:25:37	1942.7	407.2	57.7	5142.5	1980.8	1002.9
19/07/2023 12:26:37	2031.3	425.2	59.1	3466.3	2044.7	1054.3
19/07/2023 12:27:37	2137.3	436.5	60.4	4280.3	2183.9	1080.6
19/07/2023 12:29:37	2295.9	461.3	63.2	4963.3	2361.7	1142.4
19/07/2023 12:30:37	2411.3	456.5	63.1	5174.2	2483.1	1155.6
19/07/2023 12:31:37	2415.9	467.5	63.8	6174.7	2494.7	1175.8
19/07/2023 12:32:37	2516.3	479.7	64.4	5426.3	2566.5	1208.2
19/07/2023 12:33:37	2425.8	469.9	64.2	5170.3	2479.0	1175.5
19/07/2023 12:34:37	2449.8	487.4	64.8	5668.9	2542.1	1211.7
19/07/2023 12:35:37	2442.3	475.4	64.9	4894.5	2476.3	1189.0
19/07/2023 12:36:37	2478.4	476.9	65.3	5817.8	2535.1	1187.3
19/07/2023 12:37:37	2397.5	486.6	65.3	5066.0	2454.3	1194.7
19/07/2023 12:38:37	2691.0	505.4	68.6	7723.2	2792.8	1280.3
19/07/2023 12:39:37	2669.1	508.7	68.9	6387.3	2761.4	1276.5
19/07/2023 12:40:37	2878.9	550.4	72.4	6056.7	2929.0	1385.5
19/07/2023 12:41:37	3102.6	579.6	75.6	7152.3	3209.1	1470.5
19/07/2023 12:42:37	3001.6	539.4	72.7	7104.7	3083.5	1382.2
19/07/2023 12:43:37	2876.6	526.4	70.7	8238.2	3002.0	1344.6
19/07/2023 12:44:37	2605.2	513.7	69.2	6182.6	2700.1	1278.3
19/07/2023 12:45:37	2576.2	503.0	66.5	5261.0	2611.0	1255.0
19/07/2023 12:46:37	2436.3	483.1	64.6	5148.1	2493.9	1198.3
19/07/2023 12:47:37	2423.9	475.1	62.9	5589.0	2481.3	1171.9
19/07/2023 12:48:37	2393.2	458.3	62.1	5848.8	2471.6	1160.7
19/07/2023 12:49:37	2437.7	465.0	62.5	4902.9	2474.0	1168.2
19/07/2023 12:50:37	4765.4	542.7	68.3	18957.3	5250.0	1661.6
19/07/2023 12:51:37	2699.3	460.2	61.0	8175.0	2837.3	1202.0
19/07/2023 12:52:37	2209.6	438.4	58.5	5036.8	2275.8	1082.5
19/07/2023 12:53:37	2363.5	454.7	59.5	4295.0	2395.3	1143.6
19/07/2023 12:55:37	2307.4	439.9	58.4	4740.4	2376.4	1104.0
